gene_id,num_transcript,num_exon,num_uniq_exon
LOC100278541,1,2,2
LOC100278555,1,2,2
LOC100278564,2,4,4
LOC100278569,1,8,8
LOC100278572,4,68,21
LOC100278573,1,2,2
LOC100278577,2,3,3
LOC100278581,1,4,4
LOC100278582,1,1,1
LOC100278584,1,2,2
LOC100278590,1,4,4
LOC100278594,1,1,1
LOC100278616,1,3,3
LOC100278629,1,8,8
LOC100278640,1,1,1
LOC100278642,1,1,1
LOC100278643,1,5,5
LOC100278646,1,1,1
LOC100278647,1,1,1
LOC100278660,4,17,10
LOC100278678,1,3,3
LOC100278680,1,2,2
LOC100278691,1,1,1
LOC100278694,1,1,1
LOC100278699,1,1,1
LOC100278716,1,1,1
LOC100278735,1,1,1
LOC100278752,1,1,1
LOC100278754,1,1,1
LOC100278766,1,4,4
LOC100278768,1,1,1
LOC100278769,1,1,1
LOC100278770,1,3,3
LOC100278784,1,2,2
LOC100278786,1,4,4
LOC100278795,1,1,1
LOC100278803,1,1,1
LOC100278809,1,3,3
LOC100278819,1,1,1
LOC100278823,1,1,1
LOC100278828,1,3,3
LOC100278836,3,6,6
LOC100278840,1,1,1
LOC100278848,1,5,5
LOC100278850,1,1,1
LOC100278864,1,2,2
LOC100278867,1,3,3
LOC100278884,1,1,1
