gene_id,num_transcript,num_exon,num_uniq_exon
PHACADRAFT_104829,1,6,6
PHACADRAFT_104861,1,1,1
PHACADRAFT_104881,1,1,1
PHACADRAFT_104926,1,5,5
PHACADRAFT_104936,1,4,4
PHACADRAFT_104974,1,7,7
PHACADRAFT_105051,1,10,10
PHACADRAFT_105071,1,3,3
PHACADRAFT_105123,1,4,4
PHACADRAFT_105129,1,3,3
PHACADRAFT_105140,1,1,1
PHACADRAFT_105203,1,5,5
PHACADRAFT_105336,1,14,14
PHACADRAFT_105340,1,4,4
PHACADRAFT_105385,1,8,8
PHACADRAFT_105415,1,4,4
PHACADRAFT_105487,1,7,7
PHACADRAFT_105524,1,2,2
PHACADRAFT_105539,1,2,2
PHACADRAFT_105550,1,2,2
PHACADRAFT_105609,1,4,4
PHACADRAFT_105614,1,3,3
PHACADRAFT_105667,1,2,2
PHACADRAFT_105691,1,1,1
PHACADRAFT_105693,1,1,1
PHACADRAFT_105721,1,4,4
PHACADRAFT_105743,1,1,1
PHACADRAFT_105762,1,7,7
PHACADRAFT_105800,1,3,3
PHACADRAFT_105833,1,2,2
PHACADRAFT_105852,1,3,3
PHACADRAFT_105877,1,4,4
PHACADRAFT_105881,1,9,9
PHACADRAFT_105903,1,4,4
PHACADRAFT_105915,1,5,5
PHACADRAFT_105956,1,2,2
PHACADRAFT_105966,1,3,3
PHACADRAFT_106034,1,8,8
PHACADRAFT_106055,1,3,3
PHACADRAFT_106063,1,1,1
PHACADRAFT_106145,1,7,7
PHACADRAFT_106209,1,2,2
PHACADRAFT_106246,1,7,7
PHACADRAFT_106257,1,1,1
PHACADRAFT_106311,1,3,3
PHACADRAFT_106317,1,8,8
PHACADRAFT_106340,1,6,6
PHACADRAFT_106353,1,8,8
PHACADRAFT_106360,1,10,10
PHACADRAFT_106367,1,8,8
PHACADRAFT_106372,1,8,8
PHACADRAFT_106383,1,6,6
PHACADRAFT_106493,1,4,4
PHACADRAFT_106616,1,1,1
PHACADRAFT_106621,1,2,2
PHACADRAFT_106693,1,3,3
PHACADRAFT_106695,1,2,2
PHACADRAFT_106712,1,4,4
PHACADRAFT_106717,1,4,4
PHACADRAFT_106737,1,5,5
PHACADRAFT_106742,1,8,8
PHACADRAFT_106746,1,7,7
PHACADRAFT_106758,1,16,16
PHACADRAFT_106798,1,15,15
PHACADRAFT_106807,1,11,11
PHACADRAFT_106852,1,2,2
PHACADRAFT_106860,1,3,3
PHACADRAFT_106877,1,4,4
PHACADRAFT_106888,1,3,3
PHACADRAFT_106917,1,2,2
PHACADRAFT_106957,1,2,2
PHACADRAFT_107000,1,2,2
PHACADRAFT_107073,1,2,2
PHACADRAFT_107234,1,1,1
PHACADRAFT_107264,1,6,6
PHACADRAFT_107402,1,2,2
PHACADRAFT_107413,1,4,4
PHACADRAFT_107488,1,5,5
PHACADRAFT_107553,1,2,2
PHACADRAFT_107559,1,2,2
PHACADRAFT_107575,1,3,3
PHACADRAFT_107626,1,4,4
PHACADRAFT_107685,1,11,11
PHACADRAFT_107697,1,2,2
PHACADRAFT_107712,1,6,6
PHACADRAFT_107790,1,3,3
PHACADRAFT_107816,1,2,2
PHACADRAFT_107834,1,2,2
PHACADRAFT_107836,1,5,5
PHACADRAFT_107879,1,2,2
PHACADRAFT_107991,1,6,6
PHACADRAFT_108008,1,3,3
PHACADRAFT_108042,1,2,2
PHACADRAFT_108068,1,2,2
PHACADRAFT_108070,1,1,1
PHACADRAFT_108306,1,1,1
PHACADRAFT_108338,1,4,4
PHACADRAFT_108377,1,5,5
PHACADRAFT_108397,1,2,2
PHACADRAFT_108415,1,2,2
PHACADRAFT_108421,1,4,4
PHACADRAFT_108423,1,12,12
PHACADRAFT_108504,1,7,7
PHACADRAFT_108524,1,4,4
PHACADRAFT_108572,1,1,1
PHACADRAFT_108614,1,2,2
PHACADRAFT_108656,1,10,10
PHACADRAFT_108708,1,1,1
PHACADRAFT_108744,1,1,1
PHACADRAFT_108758,1,3,3
PHACADRAFT_108784,1,4,4
PHACADRAFT_108819,1,1,1
PHACADRAFT_108825,1,4,4
PHACADRAFT_108858,1,1,1
PHACADRAFT_108859,1,2,2
PHACADRAFT_108885,1,3,3
PHACADRAFT_108951,1,5,5
PHACADRAFT_109021,1,1,1
PHACADRAFT_109032,1,6,6
PHACADRAFT_109033,1,3,3
PHACADRAFT_109055,1,1,1
PHACADRAFT_109112,1,1,1
PHACADRAFT_109167,1,2,2
PHACADRAFT_109174,1,1,1
