generation,leftchild,rightchild,abstime,betainit,betashift
27000,Drosophila_willistoni,NA,6.15239,1.17354,-0.0301887
27000,Drosophila_willistoni,NA,49.9233,0.106284,-0.00562188
27000,Drosophila_sechellia,NA,48.6473,1.9114,0.0273991
27000,Drosophila_ananassae,NA,42.3193,1.23902,0.00979256
28000,Drosophila_grimshawi,Drosophila_willistoni,0,0.292848,-0.100745
28000,Drosophila_sechellia,NA,48.7273,0.635514,0.0699363
29000,Drosophila_grimshawi,Drosophila_willistoni,0,0.949689,-0.130667
29000,Drosophila_sechellia,NA,48.539,1.66561,-0.0631773
30000,Drosophila_grimshawi,Drosophila_willistoni,0,0.762468,-0.130667
30000,Drosophila_sechellia,NA,48.4775,1.51968,-0.0631773
31000,Drosophila_grimshawi,Drosophila_willistoni,0,1.51807,-0.104745
31000,Drosophila_sechellia,Drosophila_simulans,44.8399,0.513567,0.0492362
32000,Drosophila_grimshawi,Drosophila_willistoni,0,0.966326,-0.104745
32000,Drosophila_virilis,NA,47.7139,0.0173788,-0.0871249
32000,Drosophila_sechellia,NA,47.4355,0.397978,-0.0578015
33000,Drosophila_grimshawi,Drosophila_willistoni,0,1.32202,-0.14091
33000,Drosophila_sechellia,NA,47.046,0.266325,-0.0578015
34000,Drosophila_grimshawi,Drosophila_willistoni,0,1.25421,-0.14091
34000,Drosophila_willistoni,NA,14.5295,0.0519656,-0.129032
34000,Drosophila_willistoni,NA,40.4901,0.0184105,-4.48827e-05
34000,Drosophila_sechellia,NA,47.8013,0.719766,-0.0578015
35000,Drosophila_grimshawi,Drosophila_willistoni,0,0.860095,-0.14091
35000,Drosophila_willistoni,NA,8.33743,1.22648,-0.0422127
35000,Drosophila_sechellia,NA,47.7441,0.644529,0.117713
36000,Drosophila_grimshawi,Drosophila_willistoni,0,0.15869,-0.0932374
36000,Drosophila_sechellia,NA,48.928,0.86301,0.0720533
37000,Drosophila_grimshawi,Drosophila_willistoni,0,0.228714,-0.0932374
37000,Drosophila_sechellia,NA,49.2959,1.65699,0.0342589
38000,Drosophila_grimshawi,Drosophila_willistoni,0,0.345544,-0.0932374
