generation,leftchild,rightchild,abstime,betainit,betashift
42000,Drosophila_sechellia,Drosophila_melanogaster,39.0985,0.0527678,-0.0593408
43000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0285927,-0.000435449
44000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0607701,-0.071756
44000,Drosophila_sechellia,NA,48.6046,0.556086,-0.0337634
45000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0826392,-0.071756
45000,Drosophila_sechellia,NA,46.9599,0.527125,-0.0337634
46000,Drosophila_grimshawi,Drosophila_willistoni,0,0.072664,-0.0645855
46000,Drosophila_sechellia,NA,48.7156,0.394676,-0.0337634
47000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0968297,-0.0645855
47000,Drosophila_sechellia,NA,47.3644,0.660079,0.0359735
48000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0785965,-0.0645855
48000,Drosophila_sechellia,NA,47.1028,0.239925,0.0359735
49000,Drosophila_grimshawi,Drosophila_willistoni,0,0.164313,-0.0495151
50000,Drosophila_grimshawi,Drosophila_willistoni,0,0.138546,-0.0495151
51000,Drosophila_grimshawi,Drosophila_willistoni,0,0.23324,-0.0495151
52000,Drosophila_grimshawi,Drosophila_willistoni,0,0.207291,-0.0495151
53000,Drosophila_grimshawi,Drosophila_willistoni,0,0.320432,-0.0402791
54000,Drosophila_grimshawi,Drosophila_willistoni,0,0.02014,-0.0129512
55000,Drosophila_grimshawi,Drosophila_willistoni,0,0.00690993,-0.0356758
55000,Drosophila_grimshawi,NA,49.2584,0.313117,0.0281606
55000,Drosophila_sechellia,Drosophila_melanogaster,39.7475,0.148704,0.0254884
56000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0259434,-0.0129512
57000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0188914,-0.0129512
58000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0105128,-0.0356758
58000,Drosophila_sechellia,Drosophila_melanogaster,38.8088,0.259277,-0.113464
59000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0709576,-0.0959854
59000,Drosophila_sechellia,NA,48.9912,1.69586,0.0152891
60000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0808863,-0.0878596
60000,Drosophila_sechellia,NA,47.5358,1.30848,0.0408093
61000,Drosophila_grimshawi,Drosophila_willistoni,0,0.167931,-0.0878596
61000,Drosophila_sechellia,NA,48.7644,0.629727,-0.0192446
62000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0207721,-0.0452351
62000,Drosophila_willistoni,NA,49.3344,0.232429,-0.120796
62000,Drosophila_sechellia,NA,48.4982,0.633459,-0.0897884
63000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0523511,-0.0452351
63000,Drosophila_sechellia,NA,49.7686,0.338153,-0.0516298
64000,Drosophila_grimshawi,Drosophila_willistoni,0,0.00881297,0.105434
65000,Drosophila_grimshawi,Drosophila_willistoni,0,0.149627,-0.0682188
65000,Drosophila_willistoni,NA,35.902,1.08618,0.0242545
65000,Drosophila_sechellia,NA,49.0676,1.048,0.103282
66000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0560165,-0.0682188
66000,Drosophila_grimshawi,NA,28.4297,0.743803,0.00551891
66000,Drosophila_sechellia,NA,46.9429,0.990175,-0.0323984
67000,Drosophila_grimshawi,Drosophila_willistoni,0,0.061964,-0.0600326
67000,Drosophila_sechellia,NA,49.4401,0.579777,-0.0137884
68000,Drosophila_grimshawi,Drosophila_willistoni,0,0.129229,-0.0643689
68000,Drosophila_sechellia,NA,49.7289,3.38834,-0.0413133
69000,Drosophila_grimshawi,Drosophila_willistoni,0,0.019628,-0.0266733
69000,Drosophila_sechellia,Drosophila_melanogaster,39.8864,0.200658,-0.0449345
69000,Drosophila_erecta,Drosophila_yakuba,38.9184,0.873197,0.00123049
70000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0050775,-0.0403518
70000,Drosophila_sechellia,Drosophila_melanogaster,43.6154,0.0788986,-0.0217452
71000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0178063,-0.0403518
71000,Drosophila_sechellia,Drosophila_melanogaster,43.3041,0.0281972,0.0121839
72000,Drosophila_grimshawi,Drosophila_willistoni,0,0.103628,-0.0796733
72000,Drosophila_sechellia,NA,49.2641,0.120582,0.0981028
73000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0987974,-0.0771988
73000,Drosophila_sechellia,NA,47.0982,0.458889,0.0981028
73000,Drosophila_ananassae,NA,48.0423,0.109695,0.0078191
74000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0100852,0.0345446
74000,Drosophila_virilis,NA,38.1432,1.27012,0.0693091
74000,Drosophila_virilis,NA,47.413,2.98424,0.0170708
74000,Drosophila_sechellia,Drosophila_erecta,29.375,0.0494767,-0.0356188
74000,Drosophila_ananassae,NA,48.3025,0.22345,0.0079634
75000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0654875,-0.0780474
75000,Drosophila_simulans,NA,47.6217,2.90859,-0.0157121
75000,Drosophila_melanogaster,NA,48.6858,0.752675,-0.00855702
76000,Drosophila_grimshawi,Drosophila_willistoni,0,0.06582,-0.0770545
76000,Drosophila_sechellia,NA,49.5665,1.74442,-0.0189191
76000,Drosophila_melanogaster,NA,44.4632,0.290026,0.000968624
77000,Drosophila_grimshawi,Drosophila_willistoni,0,0.00881945,-0.0869092
77000,Drosophila_sechellia,Drosophila_erecta,37.6772,0.0972461,-0.0281491
77000,Drosophila_ananassae,NA,43.3482,0.180948,-0.0446855
78000,Drosophila_grimshawi,Drosophila_willistoni,0,0.00901684,-0.0869092
78000,Drosophila_grimshawi,NA,46.2212,0.022052,-0.101563
78000,Drosophila_sechellia,NA,48.8302,0.472542,0.11736
78000,Drosophila_sechellia,Drosophila_erecta,33.5074,0.0341909,-0.0281491
79000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0340662,-0.0869092
79000,Drosophila_mojavensis,NA,38.5466,0.0148957,-0.0284728
79000,Drosophila_sechellia,Drosophila_erecta,18.3922,0.0700981,-0.0153787
80000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0354747,-0.0869092
80000,Drosophila_sechellia,Drosophila_erecta,22.6889,0.110313,-0.0153787
81000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0356425,-0.0869092
81000,Drosophila_sechellia,Drosophila_erecta,16.2926,0.04952,-0.0153787
82000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0104956,-0.0850457
82000,Drosophila_sechellia,Drosophila_melanogaster,40.2286,0.121727,-0.117527
83000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0168782,-0.0850457
83000,Drosophila_sechellia,Drosophila_melanogaster,41.8167,0.160401,-0.173834
84000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0144192,-0.0770545
84000,Drosophila_sechellia,NA,47.5323,1.4775,-0.0768658
84000,Drosophila_melanogaster,NA,45.0043,1.66466,-0.0136679
85000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0130308,-0.0770545
85000,Drosophila_sechellia,NA,48.738,0.769402,0.0734542
85000,Drosophila_melanogaster,NA,44.5017,1.87575,-0.0440536
86000,Drosophila_grimshawi,Drosophila_willistoni,0,0.00869359,0.0426646
87000,Drosophila_grimshawi,Drosophila_willistoni,0,0.019448,-0.0770545
87000,Drosophila_sechellia,NA,49.7869,0.431522,0.100565
88000,Drosophila_grimshawi,Drosophila_willistoni,0,0.00602356,0.0259972
89000,Drosophila_grimshawi,Drosophila_willistoni,0,0.00630658,0.0392529
89000,Drosophila_virilis,NA,43.9603,0.10356,-0.0373577
90000,Drosophila_grimshawi,Drosophila_willistoni,0,0.00295291,0.0392529
91000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0168156,0.0392529
92000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0063866,-0.045011
92000,Drosophila_sechellia,Drosophila_melanogaster,42.8651,0.0486873,-0.0753941
93000,Drosophila_grimshawi,Drosophila_willistoni,0,0.018459,-0.045011
93000,Drosophila_sechellia,Drosophila_melanogaster,41.9355,0.058312,-0.0753941
94000,Drosophila_grimshawi,Drosophila_willistoni,0,0.00678335,-0.0659966
94000,Drosophila_persimilis,NA,30.3969,0.317813,-0.032235
94000,Drosophila_sechellia,Drosophila_melanogaster,44.0213,0.20808,0.0549992
95000,Drosophila_grimshawi,Drosophila_willistoni,0,0.00754923,-0.0659966
95000,Drosophila_sechellia,Drosophila_melanogaster,38.7432,0.070235,0.0549992
96000,Drosophila_grimshawi,Drosophila_willistoni,0,0.00473486,-0.0659966
96000,Drosophila_sechellia,Drosophila_melanogaster,40.1027,0.0857963,0.0672798
97000,Drosophila_grimshawi,Drosophila_willistoni,0,0.00700642,-0.0659966
97000,Drosophila_virilis,NA,21.69,0.094803,0.0233885
97000,Drosophila_sechellia,Drosophila_melanogaster,40.6722,0.136106,-0.000983
98000,Drosophila_grimshawi,Drosophila_willistoni,0,0.00548656,-0.0659966
98000,Drosophila_sechellia,Drosophila_melanogaster,43.6266,0.395682,-0.000983
98000,Drosophila_ananassae,NA,27.688,0.525265,0.0707199
99000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0050521,-0.0416401
99000,Drosophila_sechellia,Drosophila_melanogaster,42.7876,0.215944,-0.0808013
100000,Drosophila_grimshawi,Drosophila_willistoni,0,0.00104865,-0.012541
100000,Drosophila_sechellia,Drosophila_erecta,35.0147,0.141656,-0.0640902
101000,Drosophila_grimshawi,Drosophila_willistoni,0,0.00458095,-0.0161369
101000,Drosophila_grimshawi,NA,42.7061,0.519667,-0.0597796
101000,Drosophila_sechellia,Drosophila_erecta,24.6229,0.0264052,-0.00300957
102000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0758258,-0.0816433
102000,Drosophila_sechellia,Drosophila_melanogaster,40.777,0.0603647,-0.0527597
103000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0232083,-0.0816433
103000,Drosophila_sechellia,Drosophila_melanogaster,40.8174,0.0609064,0.0345881
104000,Drosophila_grimshawi,Drosophila_willistoni,0,0.00552773,-0.0401403
104000,Drosophila_sechellia,Drosophila_erecta,25.7096,0.038608,0.0390524
105000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0245348,-0.0816433
105000,Drosophila_sechellia,Drosophila_melanogaster,42.9861,0.331075,-0.0702464
106000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0185401,-0.0816433
106000,Drosophila_persimilis,NA,42.6934,0.300054,-0.0395832
106000,Drosophila_sechellia,Drosophila_melanogaster,42.2237,0.14768,-0.072987
107000,Drosophila_grimshawi,Drosophila_willistoni,0,0.00367858,-0.0518373
107000,Drosophila_sechellia,Drosophila_erecta,21.9617,0.14433,0.0111648
108000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0288284,-0.0816433
108000,Drosophila_sechellia,Drosophila_melanogaster,38.8882,0.0215416,0.0633038
109000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0412641,-0.0970049
109000,Drosophila_sechellia,Drosophila_melanogaster,42.0098,0.0686034,0.0633038
110000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0137832,-0.0728153
110000,Drosophila_sechellia,Drosophila_melanogaster,42.361,0.10691,0.0633038
111000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0142521,-0.0728153
111000,Drosophila_sechellia,Drosophila_melanogaster,41.3871,0.0181301,0.0633038
112000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0220366,-0.079391
112000,Drosophila_sechellia,Drosophila_melanogaster,42.0322,0.0396615,0.105133
113000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0539614,-0.0728153
113000,Drosophila_sechellia,NA,47.3728,0.103604,-0.100024
114000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0124406,-0.079391
114000,Drosophila_sechellia,Drosophila_melanogaster,42.8983,0.0645898,-0.0581948
115000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0551783,-0.0970049
115000,Drosophila_persimilis,NA,32.1952,1.29876,-0.0495006
115000,Drosophila_sechellia,NA,47.2072,0.556448,-0.0481292
115000,Drosophila_melanogaster,NA,49.5975,0.168456,0.0350762
116000,Drosophila_grimshawi,Drosophila_willistoni,0,0.00695416,-0.0671989
116000,Drosophila_melanogaster,NA,46.1196,0.0725762,0.00699025
116000,Drosophila_sechellia,Drosophila_erecta,19.5826,0.114817,-0.0367205
117000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0176012,-0.0671989
117000,Drosophila_sechellia,Drosophila_erecta,23.1733,0.0560861,-0.0367205
118000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0214373,-0.0467814
118000,Drosophila_sechellia,Drosophila_erecta,24.7287,0.0632766,-0.0367205
