generation,N_shifts,logPrior,logLik,eventRate,acceptRate
123000,1,0.00202309,-18.254,0.869333,0.3915
124000,2,-0.998309,-10.8718,0.890115,0.414333
125000,2,-2.75609,-12.0823,2.3765,0.412
126000,1,1.71966,-16.9402,0.372037,0.4
127000,3,5.49756,-11.6417,0.921217,0.387
128000,1,1.84676,-15.9082,0.92073,0.406
129000,1,2.82383,-19.8958,0.45002,0.4404
130000,2,4.15445,-14.4882,1.44905,0.453
131000,1,2.44122,-15.3201,1.21128,0.5035
132000,1,0.723161,-16.8318,0.875226,0.508
133000,4,2.6551,-12.0854,4.00898,0.431
134000,2,3.27974,-12.694,1.08342,0.4635
135000,3,1.55759,-17.0899,2.10622,0.477
136000,4,5.34786,-20.2534,1.93318,0.506
137000,1,2.601,-17.4071,0.692307,0.429
138000,2,3.32522,-24.517,1.16432,0.42969
139000,3,0.542332,-24.9561,3.69783,0.586
140000,1,2.49849,-23.7234,0.346347,0.528
141000,1,-2.38333,-22.1189,2.02576,0.479
142000,2,0.6729,-14.4079,1.25624,0.509
143000,2,-1.04264,-21.4092,2.95239,0.472
144000,3,-0.0175688,-16.3601,0.448193,0.491375
145000,1,-1.30456,-12.1468,1.39947,0.351
146000,1,-1.29851,-11.5776,3.29031,0.377
147000,2,-4.69349,-18.9346,1.5014,0.4555
148000,1,2.60231,-15.4094,0.675061,0.516
149000,2,1.10565,-17.2744,2.44366,0.427333
150000,2,2.81105,-19.9177,1.22576,0.409773
151000,1,0.915673,-16.5642,0.792878,0.4435
152000,3,3.4731,-19.717,1.4172,0.51825
153000,2,0.652698,-17.5644,1.32083,0.479
154000,1,1.88692,-17.6378,1.19886,0.498
155000,1,0.71035,-10.5995,0.732268,0.411444
156000,1,-1.01011,-9.24489,1.41664,0.358
157000,1,0.375625,-11.8506,0.632628,0.3995
158000,2,-0.819548,-4.19112,2.49118,0.309
159000,2,0.157791,-5.50501,2.16275,0.351667
160000,1,-3.59712,-4.10188,1.06644,0.318
161000,1,-2.18181,-5.76107,3.30087,0.332
162000,1,-3.61369,-8.23749,1.29727,0.316
163000,3,3.13133,-12.9576,1.4357,0.405154
164000,1,-8.71799,-11.1377,1.99834,0.3345
165000,1,-2.53763,-13.9989,0.392893,0.393
166000,1,1.73604,-19.2492,0.53947,0.345625
167000,3,-0.664659,-12.5609,2.69796,0.408
168000,1,-0.912715,-14.698,1.14811,0.388
169000,1,-2.99693,-11.9453,3.01758,0.399
170000,5,0.692414,-10.3986,2.43437,0.403
171000,2,1.03729,-14.1851,2.2538,0.4165
172000,1,-0.127672,-17.8967,0.310866,0.4
173000,1,0.782628,-10.9963,0.314397,0.388263
174000,1,0.990829,-16.7949,1.30211,0.413667
175000,1,1.70429,-9.15216,0.365285,0.425
176000,2,1.40287,-12.8287,0.582439,0.38425
177000,3,-0.520635,-14.7122,1.35539,0.42575
178000,1,2.01287,-10.0829,0.0764051,0.355
179000,1,0.693525,-13.9615,0.863522,0.338
180000,4,0.107235,-18.338,1.5359,0.453
181000,1,0.475087,-21.9012,0.367483,0.491
182000,2,0.67769,-13.0592,1.56066,0.388211
183000,2,0.947087,-17.1212,0.367745,0.494
184000,1,0.0853604,-12.3496,1.78224,0.402
185000,1,2.38198,-8.41238,0.331186,0.4038
186000,3,-0.509071,-16.8358,1.13198,0.4
187000,1,-0.223762,-6.12778,1.27449,0.369333
188000,1,-0.290048,-6.62116,2.34579,0.3255
189000,1,0.623707,-13.4067,0.195989,0.345
190000,3,-2.28967,-11.2555,2.80625,0.368125
191000,5,3.76811,-8.34235,2.87671,0.347
192000,3,1.87212,-16.1463,1.34453,0.435
193000,1,-1.55605,-17.449,3.00597,0.481
194000,1,0.549878,-13.5791,0.332159,0.446
195000,1,0.529961,-11.8832,0.16526,0.396
196000,1,-0.0194951,-11.5307,1.50075,0.46
197000,1,1.24027,-2.43027,1.01296,0.38225
198000,2,2.78061,-4.6076,0.952073,0.336
199000,2,-0.166482,-16.2134,1.90716,0.429333
200000,1,-1.59591,-20.9063,1.0832,0.451
201000,2,1.46387,-12.448,1.49364,0.483
202000,1,1.32395,-10.32,0.304492,0.379929
