"species","WT_num_transcript","WT_num_gene","WT_num_exon","WT_num_uniqExon","WT_min_transcriptPerGene","WT_min_exonPerTranscript","WT_min_exonPerGene","WT_q1_transcriptPerGene","WT_q1_exonPerTranscript","WT_q1_exonPerGene","WT_median_transcriptPerGene","WT_median_exonPerTranscript","WT_median_exonPerGene","WT_q3_transcriptPerGene","WT_q3_exonPerTranscript","WT_q3_exonPerGene","WT_max_transcriptPerGene","WT_max_exonPerTranscript","WT_max_exonPerGene","WT_mean_transcriptPerGene","WT_mean_exonPerTranscript","WT_mean_exonPerGene","WT_std_transcriptPerGene","WT_std_exonPerTranscript","WT_std_exonPerGene","ortho_num_transcript","ortho_num_gene","ortho_num_exon","ortho_num_uniqExon","ortho_min_transcriptPerGene","ortho_min_exonPerTranscript","ortho_min_exonPerGene","ortho_q1_transcriptPerGene","ortho_q1_exonPerTranscript","ortho_q1_exonPerGene","ortho_median_transcriptPerGene","ortho_median_exonPerTranscript","ortho_median_exonPerGene","ortho_q3_transcriptPerGene","ortho_q3_exonPerTranscript","ortho_q3_exonPerGene","ortho_max_transcriptPerGene","ortho_max_exonPerTranscript","ortho_max_exonPerGene","ortho_mean_transcriptPerGene","ortho_mean_exonPerTranscript","ortho_mean_exonPerGene","ortho_std_transcriptPerGene","ortho_std_exonPerTranscript","ortho_std_exonPerGene"
"Citrus_sinensis",47212,28618,303363,169940,1,1,1,1,2,2,1,5,4,2,9,8,40,79,88,1.649730939,6.425548589,5.939513593,1.639857444,5.804419523,6.021470647,37004,21231,269975,147103,1,1,1,1,3,2,1,6,5,2,10,10,30,79,88,1.742923084,7.295832883,6.929348594,1.607900803,6.147161847,6.426599307
"Cucumis_melo",36008,22318,238778,143649,1,1,1,1,3,2,1,5,5,2,9,9,36,79,83,1.613406219,6.631248611,6.437001523,1.469750993,5.585097646,6.0043558,30024,18716,216811,130948,1,1,1,1,3,2,1,6,5,2,10,10,25,79,83,1.604188929,7.221256328,6.997007908,1.339544896,5.847730863,6.209443707
"Cucurbita_maxima",52762,34136,334251,205326,1,1,1,1,2,2,1,5,4,2,9,9,50,79,80,1.545640966,6.335070695,6.015672604,1.265014022,5.563443331,5.894454261,43473,26301,312904,189342,1,1,1,1,3,3,1,6,6,2,10,10,22,79,80,1.652902931,7.197662917,7.199384054,1.305390271,5.682181311,6.116065082
"Durio_zibethinus",69071,37161,522029,256427,1,1,1,1,3,2,1,6,5,2,10,9,50,79,99,1.858695945,7.557860752,6.901294368,1.896678676,6.444149818,6.500918929,63408,33813,497436,242984,1,1,1,1,3,2,1,6,5,2,11,10,50,79,99,1.875255079,7.845003785,7.186673765,1.842456957,6.586915844,6.606563786
"Erythranthe_guttata",35144,29530,195939,157842,1,1,1,1,2,2,1,4,4,1,8,7,20,79,79,1.190111751,5.575318689,5.34588554,0.652722001,5.309606353,5.25335338,29167,24612,177145,143222,1,1,1,1,2,2,1,4,4,1,8,8,17,79,79,1.185072322,6.073473446,5.819640826,0.583173772,5.585169165,5.493397493
"Eucalyptus_grandis",55080,38609,320833,216574,1,1,1,1,2,2,1,4,4,1,8,7,50,80,84,1.426610376,5.824854757,5.610583025,1.456923079,5.128341364,5.404484916,35176,24147,240624,160770,1,1,1,1,3,2,1,5,5,1,9,9,41,80,84,1.456744109,6.840573118,6.658259825,1.32259495,5.718156308,5.89550479
"Eutrema_salsugineum",39173,31397,219353,164021,1,1,1,1,2,1,1,4,3,1,8,7,23,79,79,1.247666975,5.599596661,5.224766697,0.78915081,5.41150663,5.336303755,32577,25484,204853,152509,1,1,1,1,2,2,1,5,4,1,9,8,22,79,79,1.278331502,6.288270866,5.985049443,0.79329279,5.606997081,5.559675451
"Glycine_max",89356,54358,574286,331612,1,1,1,1,2,2,1,5,4,2,9,9,50,78,82,1.643842673,6.42694391,6.101383421,1.751105996,5.420061808,5.932592692,70091,41539,497844,286676,1,1,1,1,3,2,1,6,5,2,10,10,47,78,82,1.687354053,7.102823472,6.901923494,1.635207947,5.646882952,6.162106347
"Gossypium_arboreum",54293,37669,335671,220374,1,1,1,1,2,2,1,5,4,1,8,8,40,79,81,1.441317794,6.18258339,5.85136319,1.203486107,5.40567334,5.586749099,46432,32309,307199,202245,1,1,1,1,3,2,1,5,5,1,9,9,40,79,81,1.437122783,6.616105272,6.26036089,1.104700792,5.640757076,5.775117514
"Helianthus_annuus",134401,80910,798583,404587,1,1,1,1,2,2,1,5,3,1,8,6,50,77,79,1.661117291,5.941793588,5.001334816,2.640856156,4.821144564,5.491348923,56751,40549,355869,231544,1,1,1,1,2,2,1,5,4,1,9,8,50,77,79,1.399565957,6.270708886,5.710892994,1.38209488,5.449229181,5.547568867
