gene_id,num_transcript,num_exon,num_uniq_exon
LOC100191154,1,8,8
LOC100191155,1,6,6
LOC100191156,6,53,18
LOC100191157,2,4,4
LOC100191158,1,4,4
LOC100191159,1,10,10
LOC100191160,1,1,1
LOC100191161,1,1,1
LOC100191162,1,10,10
LOC100191163,2,20,14
LOC100191164,4,26,11
LOC100191165,1,14,14
LOC100191166,2,7,6
LOC100191167,1,5,5
LOC100191168,1,3,3
LOC100191169,1,2,2
LOC100191170,1,4,4
LOC100191171,1,4,4
LOC100191172,2,3,3
LOC100191173,1,2,2
LOC100191174,3,20,10
LOC100191175,1,1,1
LOC100191176,1,8,8
LOC100191177,1,1,1
LOC100191178,1,5,5
LOC100191179,1,4,4
LOC100191180,2,12,8
LOC100191181,1,7,7
LOC100191182,1,4,4
LOC100191183,4,33,15
LOC100191184,1,5,5
LOC100191185,1,3,3
LOC100191186,4,16,9
LOC100191187,1,8,8
LOC100191188,1,5,5
LOC100191189,1,11,11
LOC100191190,1,7,7
LOC100191191,2,7,6
LOC100191192,1,7,7
LOC100191193,1,7,7
LOC100191194,1,3,3
LOC100191195,13,149,25
LOC100191196,1,7,7
LOC100191197,1,1,1
LOC100191198,1,5,5
LOC100191199,1,3,3
LOC100191200,1,2,2
LOC100191201,1,7,7
LOC100191202,1,2,2
LOC100191203,1,4,4
LOC100191204,2,12,9
LOC100191205,1,6,6
LOC100191206,1,3,3
LOC100191207,1,1,1
LOC100191208,2,5,5
LOC100191209,4,11,7
LOC100191210,1,7,7
LOC100191211,2,7,6
LOC100191212,2,7,6
LOC100191213,3,21,11
LOC100191214,1,6,6
LOC100191215,1,10,10
LOC100191216,2,7,6
LOC100191217,1,4,4
LOC100191218,1,1,1
LOC100191220,2,4,4
LOC100191221,3,30,15
LOC100191222,1,9,9
LOC100191223,1,7,7
LOC100191224,1,3,3
LOC100191225,3,29,13
LOC100191226,2,6,6
LOC100191227,1,1,1
LOC100191228,3,12,8
LOC100191229,2,16,11
LOC100191230,1,3,3
LOC100191231,7,26,15
LOC100191232,1,1,1
LOC100191233,2,9,6
