generation,rank_1,rank_2,swapAccepted
354000,2,4,1
355000,1,2,1
356000,1,4,1
357000,1,3,1
358000,1,2,1
359000,1,4,1
360000,2,3,1
361000,1,4,1
362000,1,4,1
363000,3,4,1
364000,1,4,1
365000,1,3,1
366000,3,4,1
367000,3,4,1
368000,3,4,1
369000,3,4,1
370000,1,3,0
371000,1,2,1
372000,2,3,0
373000,3,4,1
374000,2,3,1
375000,1,3,1
376000,1,2,1
377000,1,2,0
378000,2,3,1
379000,2,4,1
380000,1,2,1
381000,1,2,1
382000,1,2,1
383000,3,4,1
384000,2,4,1
385000,2,4,1
386000,1,4,1
387000,1,2,1
388000,2,3,1
389000,1,2,1
390000,1,2,1
391000,2,4,0
392000,2,3,1
393000,1,4,1
394000,1,2,1
395000,2,4,1
396000,2,3,1
397000,1,2,1
398000,1,3,1
399000,2,3,1
400000,1,3,1
401000,1,2,0
402000,1,4,0
403000,2,3,1
404000,1,3,1
405000,1,3,1
406000,3,4,1
407000,2,4,1
408000,1,4,1
409000,2,3,1
410000,3,4,1
411000,2,3,1
412000,2,4,1
413000,1,2,1
414000,1,4,1
415000,1,3,1
416000,2,3,1
417000,1,4,1
418000,1,2,1
419000,3,4,1
420000,1,2,1
421000,2,3,0
422000,1,4,1
423000,1,4,1
424000,1,2,1
425000,1,3,1
426000,1,3,1
427000,2,3,1
428000,2,3,1
429000,1,2,1
430000,2,4,1
431000,1,2,1
432000,2,3,1
433000,1,2,0
434000,1,2,0
435000,1,4,1
436000,2,3,1
437000,1,2,1
438000,2,3,0
439000,1,3,1
440000,3,4,1
441000,3,4,0
442000,2,4,0
443000,1,2,1
444000,2,3,1
445000,3,4,1
446000,3,4,0
447000,2,3,1
448000,2,4,1
449000,1,4,0
450000,3,4,1
451000,2,3,1
452000,1,2,1
453000,1,3,1
454000,1,3,1
455000,1,2,1
456000,3,4,1
457000,2,3,1
458000,1,3,1
459000,1,4,0
460000,1,4,1
461000,1,2,0
462000,1,3,1
463000,2,4,1
464000,3,4,1
465000,2,3,1
466000,2,4,1
467000,1,4,0
468000,2,4,1
469000,2,3,1
470000,1,2,1
471000,3,4,1
472000,1,2,1
473000,1,3,1
474000,1,2,1
475000,1,3,1
476000,2,4,1
477000,3,4,1
478000,2,4,1
479000,2,4,1
480000,1,3,0
481000,1,3,1
482000,1,4,1
483000,1,3,1
484000,3,4,1
485000,2,4,1
486000,1,3,1
487000,1,4,1
488000,1,4,1
489000,1,3,1
490000,1,4,1
491000,2,3,1
492000,1,3,1
493000,2,3,1
494000,2,3,1
495000,2,3,1
496000,2,4,1
497000,1,4,1
498000,1,3,1
499000,1,2,1
500000,3,4,1
501000,1,3,1
502000,1,3,1
503000,2,4,0
504000,1,2,1
505000,2,4,1
506000,1,3,1
507000,2,3,1
508000,2,3,1
509000,1,3,0
510000,1,4,1
511000,2,3,1
512000,1,4,1
513000,1,4,0
514000,1,2,1
515000,2,3,1
516000,2,4,1
517000,2,3,1
518000,2,4,1
519000,1,4,1
520000,2,3,1
521000,1,3,0
522000,3,4,1
523000,2,3,1
524000,2,3,1
525000,3,4,1
526000,1,3,1
527000,2,4,1
528000,3,4,1
529000,2,3,1
530000,3,4,1
531000,3,4,1
532000,2,4,1
533000,1,3,1
534000,1,2,1
535000,1,4,1
536000,1,3,1
537000,2,4,1
538000,1,4,1
539000,2,4,0
540000,1,2,1
541000,1,2,1
542000,2,3,1
543000,3,4,1
544000,1,4,1
545000,1,3,0
546000,2,3,0
547000,1,2,1
548000,1,3,1
549000,1,3,1
550000,1,4,1
551000,3,4,1
552000,1,2,1
553000,2,4,1
554000,2,4,1
555000,1,4,1
556000,1,2,1
557000,2,3,1
558000,2,3,1
559000,1,4,1
560000,3,4,1
561000,3,4,1
562000,2,4,1
563000,1,4,1
564000,1,3,1
565000,1,2,1
566000,2,3,1
567000,3,4,1
568000,1,3,1
569000,1,3,1
570000,3,4,1
571000,2,3,1
572000,1,3,1
573000,1,2,1
574000,2,4,1
575000,2,3,1
576000,1,3,1
577000,2,4,1
578000,3,4,1
579000,2,4,1
580000,2,3,1
581000,3,4,1
582000,3,4,1
583000,1,3,1
584000,1,3,1
585000,3,4,1
586000,1,2,1
587000,1,2,1
588000,1,4,1
589000,2,3,1
590000,2,4,1
591000,2,4,1
592000,3,4,1
593000,1,4,0
594000,1,4,1
595000,2,4,1
596000,2,3,1
597000,1,4,1
598000,3,4,1
599000,1,2,1
600000,1,3,1
601000,1,4,1
602000,1,2,1
603000,2,4,1
604000,3,4,1
605000,2,4,1
606000,1,4,1
607000,2,4,1
608000,1,4,1
609000,2,3,1
610000,2,3,1
611000,2,3,1
612000,3,4,1
613000,1,3,1
614000,1,3,1
615000,3,4,1
616000,1,3,0
617000,1,2,1
618000,2,4,1
619000,1,2,1
620000,2,4,0
621000,3,4,1
622000,1,3,1
623000,3,4,1
624000,2,4,1
625000,2,3,1
626000,1,2,1
627000,2,3,1
628000,2,3,1
629000,1,2,1
630000,3,4,1
631000,3,4,1
632000,3,4,1
633000,2,4,1
634000,3,4,1
635000,1,4,1
636000,3,4,1
637000,2,4,1
638000,2,3,1
639000,2,3,1
640000,3,4,1
641000,2,4,1
642000,2,4,0
643000,1,4,1
644000,3,4,1
645000,2,3,1
646000,1,3,1
647000,1,2,1
648000,2,3,1
649000,2,3,1
650000,1,4,1
651000,1,2,1
652000,1,2,1
653000,1,2,1
654000,2,3,1
655000,1,4,1
656000,3,4,1
657000,1,3,1
658000,2,3,1
659000,2,4,1
660000,1,4,0
661000,1,4,1
662000,3,4,1
663000,2,4,1
664000,3,4,1
665000,2,3,1
666000,2,3,1
667000,1,2,1
668000,1,4,1
669000,2,3,0
670000,2,3,1
671000,1,4,0
672000,1,3,1
673000,1,3,1
674000,2,4,1
675000,2,3,1
676000,1,4,0
677000,1,4,0
678000,2,3,1
679000,1,4,0
680000,3,4,0
681000,1,4,0
682000,2,4,1
