generation,N_shifts,logPrior,logLik,eventRate,acceptRate
124000,3,2.41312,-37.1391,1.20987,0.39375
125000,3,0.675325,-46.1841,3.1466,0.376
126000,3,-0.745867,-40.4275,1.96389,0.41972
127000,3,0.184482,-39.2652,2.01073,0.38
128000,4,3.44184,-51.3683,1.14837,0.408667
129000,4,5.01877,-48.3544,2.19317,0.410571
130000,4,2.85316,-46.763,2.39357,0.463
131000,4,4.93687,-39.9583,2.22712,0.39
132000,4,6.86863,-32.3302,0.605083,0.354
133000,4,1.30043,-45.064,4.49214,0.437
134000,3,3.48326,-39.604,2.16236,0.379
135000,4,3.13631,-52.3952,2.65393,0.408
136000,6,4.27047,-48.449,4.37478,0.41
137000,3,-0.0522638,-58.0196,1.09434,0.4066
138000,4,0.314468,-55.9086,3.26566,0.359
139000,4,-3.1424,-46.6219,2.70346,0.406909
140000,5,6.71111,-68.102,2.42471,0.404176
141000,3,3.68469,-49.221,2.25465,0.434
142000,4,6.92138,-41.4645,1.02372,0.381
143000,5,3.21349,-46.3026,4.32775,0.416
144000,4,2.38743,-39.582,1.53703,0.42125
145000,3,4.27593,-49.7395,1.08757,0.438
146000,4,3.66555,-52.2294,3.55857,0.421
147000,4,3.15816,-46.3536,2.77801,0.44
148000,4,-0.30824,-59.1366,3.48056,0.417
149000,3,-2.32752,-46.348,2.61771,0.4336
150000,3,1.51611,-61.1785,2.2119,0.415083
151000,4,2.18593,-42.749,4.91749,0.422333
152000,3,3.38256,-37.0118,1.99551,0.4285
153000,3,-1.25844,-44.1056,4.153,0.398
154000,3,2.27784,-42.7945,0.997859,0.3942
155000,3,-2.70805,-38.0863,2.25422,0.389
156000,3,-1.54938,-45.4899,0.770947,0.373
157000,3,1.24368,-44.2462,0.7073,0.384
158000,3,-3.53093,-46.6251,3.78837,0.385
159000,3,1.02039,-56.8529,2.48946,0.395
160000,3,1.47378,-63.6829,1.39648,0.419
161000,3,1.3144,-50.5394,3.10347,0.419
162000,4,4.53043,-35.468,1.7979,0.394
163000,3,1.96469,-47.2683,2.86901,0.388
164000,5,4.3818,-47.3953,3.99384,0.402692
