generation,N_shifts,logPrior,logLik,eventRate,acceptRate
894000,0,0.750531,129.175,0.511148,0.339333
895000,0,1.40216,94.6407,0.610745,0.403821
896000,0,1.36754,117.115,0.67186,0.359923
897000,0,2.002,120.624,0.0714818,0.352
898000,0,1.16877,123.032,0.230771,0.32475
899000,0,0.537635,130.205,0.772438,0.285
900000,0,1.0226,109.778,1.0367,0.395
901000,0,1.99472,110.49,0.0646373,0.407
902000,0,1.92837,96.2696,0.087224,0.403571
903000,0,1.6124,94.0032,0.397484,0.39
904000,0,2.04098,119.098,0.0357401,0.334286
905000,0,1.92141,111.141,0.155313,0.356
906000,0,1.65718,96.611,0.368173,0.394667
907000,0,1.64166,96.2435,0.375938,0.376
908000,0,1.26588,96.567,0.755676,0.368
909000,0,1.86401,109.812,0.195262,0.383625
910000,0,1.1655,131.479,0.511252,0.281818
911000,0,0.879068,128.819,0.0296233,0.281
912000,0,-1.01986,115.667,0.490785,0.31
913000,0,-0.536311,133.816,0.00723892,0.319
914000,0,1.76509,124.97,0.171263,0.288
915000,0,1.7011,119.903,0.375622,0.3444
916000,0,1.58298,121.464,0.493741,0.379
917000,0,1.71279,119.151,0.363936,0.316
918000,0,1.79606,119.071,0.280663,0.37
919000,0,1.42608,114.093,0.650641,0.384
920000,0,2.05448,118.273,0.0222374,0.328
921000,0,1.96946,122.219,0.107267,0.398
922000,0,1.68198,129.126,0.142936,0.2875
923000,0,0.805934,121.196,1.27079,0.363
924000,0,1.24672,107.065,0.812349,0.383533
925000,0,1.68888,94.5429,0.33481,0.397941
926000,0,1.94655,90.6692,0.0708532,0.436
927000,0,1.24852,96.5481,0.777812,0.413
928000,0,2.02437,108.458,0.0350773,0.40375
929000,0,1.51356,109.801,0.545794,0.404
930000,0,1.96374,112.197,0.0957219,0.356
931000,0,1.22712,108.268,0.832105,0.374
932000,0,1.68018,108.306,0.379074,0.374
933000,0,1.06134,129.545,0.580282,0.305091
934000,0,1.50761,132.557,0.13401,0.29
935000,0,1.73812,119.188,0.338606,0.354667
936000,0,2.03152,130.693,0.00305732,0.3205
937000,0,1.37911,104.487,0.680082,0.387
938000,0,1.70719,110.485,0.352214,0.404
939000,0,1.59936,107.633,0.459853,0.397
940000,0,1.40929,92.0938,0.608866,0.399077
941000,0,0.932442,105.662,1.12687,0.3955
942000,0,1.78937,97.7394,0.237088,0.408
943000,0,0.527614,94.1832,1.49429,0.407
944000,0,1.12816,109.024,0.931298,0.402
945000,0,0.57717,108.579,1.48204,0.367
946000,0,2.02927,120.324,0.0474548,0.354818
947000,0,1.49787,96.0203,0.53001,0.40025
948000,0,1.80787,93.9734,0.217599,0.396
949000,0,1.65137,94.9174,0.372958,0.379
950000,0,1.74528,93.8156,0.276151,0.394
951000,0,1.94071,93.2352,0.0813883,0.408
952000,0,1.5198,93.2056,0.503906,0.427
953000,0,0.332348,95.5189,1.68039,0.396
954000,0,1.17904,131.316,0.273241,0.309278
955000,0,2.04599,111.202,0.0134659,0.3889
956000,0,1.64127,107.488,0.417958,0.376
957000,0,1.67155,107.981,0.387769,0.386
958000,0,1.9203,131.327,0.122771,0.3065
959000,0,1.24683,94.8729,0.77302,0.399333
960000,0,1.78062,94.5251,0.23855,0.382
961000,0,1.59647,93.1143,0.416018,0.401
962000,0,1.5693,94.3341,0.436017,0.457
963000,0,1.7734,92.7846,0.231465,0.422
