generation,N_shifts,logPrior,logLik,eventRate,acceptRate
6522000,0,1.91772,129.95,0.0615518,0.2806
6523000,0,1.97667,123.636,0.0751494,0.26
6524000,0,2.00778,130.413,0.0440364,0.28
6525000,0,0.980853,128.408,0.811725,0.303
6526000,0,1.7654,126.641,0.0271792,0.276
6527000,0,1.87263,112.967,0.202088,0.371333
6528000,0,-0.0257358,120.481,0.231169,0.2865
6529000,0,1.39753,131.532,0.678451,0.295
6530000,0,1.69292,129.92,0.383065,0.277
6531000,0,1.86458,129.411,0.111616,0.298
6532000,0,1.83278,128.098,0.107855,0.307
6533000,0,1.8207,117.587,0.226992,0.322308
6534000,0,1.67057,128.77,0.34557,0.3005
6535000,0,0.394949,126.699,1.32127,0.290333
6536000,0,1.09681,126.356,0.690552,0.282
6537000,0,1.55434,126.619,0.233019,0.3
6538000,0,1.74448,119.575,0.0185653,0.3204
6539000,0,1.4494,120.584,0.313645,0.32
6540000,0,1.43722,115.644,0.282357,0.319
6541000,0,-1.52285,125.634,1.92751,0.303571
6542000,0,2.06492,110.909,0.00979798,0.3772
6543000,0,1.60685,121.743,0.423965,0.2985
6544000,0,1.84364,128.429,0.187173,0.314
6545000,0,1.68971,119.4,0.318588,0.332
6546000,0,1.50302,108.42,0.571679,0.37975
6547000,0,1.53264,111.404,0.542072,0.398
6548000,0,-2.00335,130.757,1.09669,0.29125
6549000,0,0.333315,126.083,0.499439,0.273
6550000,0,1.66369,129.849,0.121219,0.295692
6551000,0,1.73302,111.52,0.34169,0.4085
6552000,0,1.29981,118.432,0.544147,0.356714
6553000,0,1.54584,119.415,0.298114,0.326
6554000,0,1.55847,129.284,0.517052,0.286
6555000,0,1.906,127.497,0.169526,0.312
6556000,0,0.929572,127.774,1.14595,0.283
6557000,0,1.19809,130.66,0.814478,0.29
6558000,0,1.70672,124.338,0.305854,0.305
6559000,0,-0.573121,126.113,0.388968,0.2817
6560000,0,1.49173,128.025,0.485681,0.284
6561000,0,1.64125,129.349,0.434362,0.262
6562000,0,1.11762,130.038,0.225819,0.268
6563000,0,1.98055,127.58,0.0922171,0.3116
6564000,0,0.97056,127.298,0.00877852,0.294
6565000,0,1.809,109.676,0.265708,0.3835
6566000,0,0.961769,132.772,0.0175693,0.287
6567000,0,1.37469,111.88,0.483713,0.353571
6568000,0,1.65286,117.272,0.205537,0.341
6569000,0,1.17036,114.225,0.688042,0.352
6570000,0,1.49692,111.343,0.110468,0.368
6571000,0,1.37035,106.675,0.237036,0.345
6572000,0,1.40528,110.247,0.20211,0.393
6573000,0,1.25416,115.341,0.353223,0.389
6574000,0,1.71269,110.826,0.362022,0.378667
6575000,0,1.65491,129.166,0.391996,0.288444
6576000,0,1.77955,110.193,0.274594,0.380333
6577000,0,1.96341,103.682,0.0907312,0.365
6578000,0,1.93347,103.671,0.14123,0.39075
6579000,0,1.91098,113.71,0.163734,0.387
6580000,0,1.31478,123.493,0.561941,0.294471
6581000,0,1.61951,112.837,0.455199,0.376
6582000,0,1.57895,126.446,0.25687,0.282714
6583000,0,-3.08722,126.625,0.212607,0.311
6584000,0,1.51134,112.603,0.563377,0.394333
6585000,0,1.98275,115.536,0.0940238,0.379125
6586000,0,1.90741,110.321,0.169366,0.383
6587000,0,1.56496,107.483,0.509743,0.382
6588000,0,0.880646,127.458,0.424079,0.2928
6589000,0,0.452858,131.385,0.851867,0.269
6590000,0,0.261099,124.345,0.277684,0.272
6591000,0,1.59357,111.096,0.4832,0.362
6592000,0,-0.257282,129.683,0.796065,0.275
6593000,0,-1.98449,127.939,1.68473,0.284
6594000,0,1.83158,108.405,0.245209,0.389
6595000,0,0.25984,112.7,0.849477,0.381
6596000,0,1.06148,113.829,0.0478361,0.358
6597000,0,1.45972,113.547,0.187035,0.366
6598000,0,-0.63853,108.995,2.47095,0.369
6599000,0,1.93172,111.01,0.143215,0.386667
6600000,0,1.67104,113.53,0.405733,0.3475
6601000,0,1.90837,114.624,0.168404,0.352
6602000,0,1.78484,129.846,0.0543028,0.299
6603000,0,-1.10268,123.36,0.80438,0.287
6604000,0,1.62564,107.08,0.415449,0.379333
6605000,0,1.44877,110.338,0.592317,0.351
6606000,0,1.6835,115.095,0.357588,0.372
6607000,0,1.6082,124.149,0.239213,0.292963
6608000,0,-2.93132,124.69,0.109779,0.322
6609000,1,-0.896401,131.1,1.80386,0.284
6610000,0,1.29788,125.474,0.314484,0.284
6611000,0,1.93929,126.409,0.0982595,0.275625
6612000,0,0.0251479,129.287,1.8874,0.2855
6613000,0,1.171,130.12,0.899115,0.283
6614000,0,1.19906,129.165,0.871055,0.269
6615000,0,2.05026,117.043,0.0246768,0.36425
6616000,0,1.32879,128.798,0.551558,0.2725
6617000,0,0.19779,127.217,0.935887,0.274
6618000,0,-0.547633,129.244,1.00495,0.287
6619000,0,-0.037799,124.904,0.108428,0.315
6620000,0,1.34508,127.125,0.0552139,0.306
6621000,0,1.78975,127.742,0.121131,0.281
6622000,0,0.868475,128.23,1.07298,0.349
6623000,0,1.80295,126.6,0.0190439,0.288
6624000,0,0.803225,115.165,0.41598,0.3665
6625000,0,-0.0476063,129.707,1.01845,0.2905
6626000,0,1.77225,128.457,0.180972,0.29175
6627000,0,1.88455,129.291,0.0686724,0.296
6628000,0,0.859739,132.165,0.786482,0.283
6629000,0,1.13302,127.008,0.513206,0.286
